hotel_name,hotel_location,hotel_prices,hotel_rating_number,hotel_review_number,link
"Happy Dragon Imperial Garden Courtyard --Newly renovated French Window with garden view, Close to Lama Temple Forbidden City&Subway Nearby &free coffee & Free laundry&English speaking with tour services &Free WiFi unlimited for Western software","东城区, 北京",CHF 142,9.8,50,https://www.booking.com/hotel/cn/happy-dragon-king-courtyard-full-french-windows-near-tian-anmen-forbidden-city-l.zh-cn.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-25&checkout=2025-04-26&dest_id=-1898541&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=4e6f486f66000706&srepoch=1745662688&all_sr_blocks=1252670401_410247050_2_1_0_849294&highlighted_blocks=1252670401_410247050_2_1_0_849294&matching_block_id=1252670401_410247050_2_1_0_849294&sr_pri_blocks=1252670401_410247050_2_1_0_849294_125000&from=searchresults
北京大兴机场万枫酒店,北京,CHF 72,9.1,942,https://www.booking.com/hotel/cn/fairfield-by-marriott-beijing-daxing-airport.zh-cn.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-25&checkout=2025-04-26&dest_id=-1898541&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=4e6f486f66000706&srepoch=1745662688&all_sr_blocks=1059592404_379395368_0_2_0_798788&highlighted_blocks=1059592404_379395368_0_2_0_798788&matching_block_id=1059592404_379395368_0_2_0_798788&sr_pri_blocks=1059592404_379395368_0_2_0_798788_63599&from=searchresults
7天优品·北京站店,"朝阳区, 北京",CHF 42,,,https://www.booking.com/hotel/cn/7days-premium-beijing-station-branch.zh-cn.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-25&checkout=2025-04-26&dest_id=-1898541&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=4e6f486f66000706&srepoch=1745662688&all_sr_blocks=644764602_265002474_0_0_0&highlighted_blocks=644764602_265002474_0_0_0&matching_block_id=644764602_265002474_0_0_0&sr_pri_blocks=644764602_265002474_0_0_0__37000&from=searchresults
北京华彬费尔蒙酒店 - 地铁20分钟抵达故宫,"朝阳区, 北京",CHF 106,8.6,245,https://www.booking.com/hotel/cn/beijing-fairmont.zh-cn.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-25&checkout=2025-04-26&dest_id=-1898541&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=4e6f486f66000706&srepoch=1745662688&all_sr_blocks=39978501_399886820_2_2_0&highlighted_blocks=39978501_399886820_2_2_0&matching_block_id=39978501_399886820_2_2_0&sr_pri_blocks=39978501_399886820_2_2_0__93280&from=searchresults
北京千禧大酒店,"朝阳区, 北京",CHF 96,8.1,598,https://www.booking.com/hotel/cn/grand-millennium-beijing.zh-cn.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-25&checkout=2025-04-26&dest_id=-1898541&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=4e6f486f66000706&srepoch=1745662688&all_sr_blocks=7191902_440396_2_2_0_236163&highlighted_blocks=7191902_440396_2_2_0_236163&matching_block_id=7191902_440396_2_2_0_236163&sr_pri_blocks=7191902_440396_2_2_0_236163_84150&from=searchresults
建国饭店,"朝阳区, 北京",CHF 70,8.0,401,https://www.booking.com/hotel/cn/jianguo.zh-cn.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-25&checkout=2025-04-26&dest_id=-1898541&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=4e6f486f66000706&srepoch=1745662688&all_sr_blocks=18146221_410246849_0_2_0&highlighted_blocks=18146221_410246849_0_2_0&matching_block_id=18146221_410246849_0_2_0&sr_pri_blocks=18146221_410246849_0_2_0__61870&from=searchresults
"Happy Dragon Alley Hotel-In the city center with big window&free coffe laundry Fluent English speaking,Tourist attractions ticket service&food recommendation,Near Tian Anmen Forbiddencity,Near Lama temple,Easy to walk to NanluoAlley&Shichahai","东城区, 北京",CHF 70,9.0,1522,https://www.booking.com/hotel/cn/dragon-house.zh-cn.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-25&checkout=2025-04-26&dest_id=-1898541&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=4e6f486f66000706&srepoch=1745662688&all_sr_blocks=42687727_392631117_2_2_0&highlighted_blocks=42687727_392631117_2_2_0&matching_block_id=42687727_392631117_2_2_0&sr_pri_blocks=42687727_392631117_2_2_0__61750&from=searchresults
七巧屋时尚酒店(北京宋家庄地铁站店),"丰台区, 北京",CHF 39,8.0,9,https://www.booking.com/hotel/cn/qi-qiao-wu-shi-shang-jiu-dian-bei-jing.zh-cn.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-25&checkout=2025-04-26&dest_id=-1898541&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=4e6f486f66000706&srepoch=1745662688&all_sr_blocks=1272683903_412207805_2_0_0&highlighted_blocks=1272683903_412207805_2_0_0&matching_block_id=1272683903_412207805_2_0_0&sr_pri_blocks=1272683903_412207805_2_0_0__34240&from=searchresults
北京前门富力智选假日酒店,"西城区, 北京",CHF 68,8.1,1446,https://www.booking.com/hotel/cn/holiday-inn-express-beijing-temple-of-heaven.zh-cn.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-25&checkout=2025-04-26&dest_id=-1898541&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=4e6f486f66000706&srepoch=1745662688&all_sr_blocks=7686705_244931684_2_1_0&highlighted_blocks=7686705_244931684_2_1_0&matching_block_id=7686705_244931684_2_1_0&sr_pri_blocks=7686705_244931684_2_1_0__59699&from=searchresults
北京望京葉子里酒店,"朝阳区, 北京",CHF 64,8.7,202,https://www.booking.com/hotel/cn/holiday-inn-express-beijing-wangjing.zh-cn.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-25&checkout=2025-04-26&dest_id=-1898541&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=4e6f486f66000706&srepoch=1745662688&all_sr_blocks=27535804_394567402_2_1_0&highlighted_blocks=27535804_394567402_2_1_0&matching_block_id=27535804_394567402_2_1_0&sr_pri_blocks=27535804_394567402_2_1_0__55900&from=searchresults
