hotel_name,hotel_location,hotel_prices,hotel_rating_number,hotel_review_number,link
City Pop 2Night Zürich City - Self check-in,"Aussersihl, 苏黎世",CHF 120,8.3,173,https://www.booking.com/hotel/ch/city-pop-2night-zurich-city.zh-cn.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-25&checkout=2025-04-26&dest_id=-2554935&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=e86a4775b27402ad&srepoch=1745662188&all_sr_blocks=1353972401_407729965_0_0_0_821360&highlighted_blocks=1353972401_407729965_0_0_0_821360&matching_block_id=1353972401_407729965_0_0_0_821360&sr_pri_blocks=1353972401_407729965_0_0_0_821360_11978&from=searchresults
美憬阁欧洲大陆苏黎世酒店,"安特施塔斯, 苏黎世",CHF 162,7.9,7615,https://www.booking.com/hotel/ch/zurich.zh-cn.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-25&checkout=2025-04-26&dest_id=-2554935&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=e86a4775b27402ad&srepoch=1745662188&all_sr_blocks=6997717_376291297_2_2_0&highlighted_blocks=6997717_376291297_2_2_0&matching_block_id=6997717_376291297_2_2_0&sr_pri_blocks=6997717_376291297_2_2_0__16200&from=searchresults
City Center Apartment,"市中心老城区, 苏黎世",CHF 102,6.5,1075,https://www.booking.com/hotel/ch/city-center-apartment-zurich.zh-cn.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-25&checkout=2025-04-26&dest_id=-2554935&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=e86a4775b27402ad&srepoch=1745662188&all_sr_blocks=970876901_369485210_2_0_0&highlighted_blocks=970876901_369485210_2_0_0&matching_block_id=970876901_369485210_2_0_0&sr_pri_blocks=970876901_369485210_2_0_0__10175&from=searchresults
Ruby Mimi Hotel Zurich,"市中心老城区, 苏黎世",CHF 234,8.5,7255,https://www.booking.com/hotel/ch/ruby-mimi-zurich.zh-cn.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-25&checkout=2025-04-26&dest_id=-2554935&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=e86a4775b27402ad&srepoch=1745662188&all_sr_blocks=723693101_404979921_0_2_0_738195&highlighted_blocks=723693101_404979921_0_2_0_738195&matching_block_id=723693101_404979921_0_2_0_738195&sr_pri_blocks=723693101_404979921_0_2_0_738195_23400&from=searchresults
Holiday Inn Zürich Messe by IHG,"Oerlikon, 苏黎世",CHF 172,8.2,3575,https://www.booking.com/hotel/ch/holiday-inn-zurich-messe.zh-cn.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-25&checkout=2025-04-26&dest_id=-2554935&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=e86a4775b27402ad&srepoch=1745662188&all_sr_blocks=2443707_246010055_2_34_8&highlighted_blocks=2443707_246010055_2_34_8&matching_block_id=2443707_246010055_2_34_8&sr_pri_blocks=2443707_246010055_2_34_8__17200&from=searchresults
霍普巴恩霍夫25小时酒店,"Aussersihl, 苏黎世",CHF 192,8.5,2712,https://www.booking.com/hotel/ch/25hours-zurich-langstrasse.zh-cn.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-25&checkout=2025-04-26&dest_id=-2554935&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=e86a4775b27402ad&srepoch=1745662188&all_sr_blocks=209854206_212961829_2_2_0&highlighted_blocks=209854206_212961829_2_2_0&matching_block_id=209854206_212961829_2_2_0&sr_pri_blocks=209854206_212961829_2_2_0__19200&from_sustainable_property_sr=1&from=searchresults
Locke am Platz Zurich,"Enge, 苏黎世",CHF 181,8.7,1479,https://www.booking.com/hotel/ch/locke-am-platz.zh-cn.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-25&checkout=2025-04-26&dest_id=-2554935&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=e86a4775b27402ad&srepoch=1745662188&all_sr_blocks=1037142802_376246028_2_1_0&highlighted_blocks=1037142802_376246028_2_1_0&matching_block_id=1037142802_376246028_2_1_0&sr_pri_blocks=1037142802_376246028_2_1_0__18100&from=searchresults
INSIDE Five,苏黎世,CHF 107,7.2,2119,https://www.booking.com/hotel/ch/inside-five-city-apartments.zh-cn.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-25&checkout=2025-04-26&dest_id=-2554935&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=e86a4775b27402ad&srepoch=1745662188&all_sr_blocks=57166911_99939393_0_0_0_316617&highlighted_blocks=57166911_99939393_0_0_0_316617&matching_block_id=57166911_99939393_0_0_0_316617&sr_pri_blocks=57166911_99939393_0_0_0_316617_10710&from=searchresults
圣约瑟夫酒店,"市中心老城区, 苏黎世",CHF 237,9.1,2037,https://www.booking.com/hotel/ch/stjosef.zh-cn.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-25&checkout=2025-04-26&dest_id=-2554935&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=e86a4775b27402ad&srepoch=1745662188&all_sr_blocks=6531301_329156662_2_1_0&highlighted_blocks=6531301_329156662_2_1_0&matching_block_id=6531301_329156662_2_1_0&sr_pri_blocks=6531301_329156662_2_1_0__23700&from=searchresults
苏黎世一号酒店,"Enge, 苏黎世",CHF 172,8.5,10211,https://www.booking.com/hotel/ch/motel-one-zurich.zh-cn.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-25&checkout=2025-04-26&dest_id=-2554935&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=e86a4775b27402ad&srepoch=1745662188&all_sr_blocks=227297101_393428677_2_2_0_222373&highlighted_blocks=227297101_393428677_2_2_0_222373&matching_block_id=227297101_393428677_2_2_0_222373&sr_pri_blocks=227297101_393428677_2_2_0_222373_17200&from_sustainable_property_sr=1&from=searchresults
